Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor
49746;155 592 320;B01;0;7;0;0;3;11;1
49746;155 592 323;A01;0;2;6;0;1;1;1
49739;155 592 328;B01;2;7;0;2;3;1;0
49739;155 592 332;A01;1;7;0;2;3;13;0
49298;155 593 098;B01;2;7;0;2;7;2;1
49298;155 593 099;A01;2;1;16;0;8;2;5
49239;155 593 206;A01;3;7;0;2;5;15;1
49239;155 593 207;B01;3;33;0;2;1;1;1
49027;155 593 590;B01;2;10;0;2;2;1;1
49027;155 593 591;A01;1;7;0;2;1;13;1
49010;155 593 617;B01;1;7;0;2;2;2;1
49010;155 593 618;A01;1;7;2;2;2;2;1
48588;155 594 332;A01;2;50;0;0;0;1;3
48557;155 594 380;A01;1;7;2;0;1;1;1
48494;155 594 495;A01;2;50;0;2;1;5;3
48494;155 594 501;B01;1;7;0;2;2;19;1
48487;155 594 507;A01;3;7;0;2;8;9;1
48487;155 594 512;B01;2;1;0;2;1;1;5
48284;155 594 876;B01;1;7;0;2;1;1;1
48284;155 594 878;A01;2;7;0;2;1;5;1
48087;155 595 230;A01;2;33;3;0;3;9;1
48062;155 595 272;A01;1;7;0;2;3;13;1
48062;155 595 273;B01;2;30;0;2;1;1;1
48024;155 595 335;A01;1;13;4;0;3;1;0
48020;155 595 344;A01;2;33;6;0;8;1;1
48015;155 595 349;A01;3;7;4;0;2;17;1
47955;155 595 451;B01;1;7;0;2;3;15;1
47955;155 595 454;A01;2;31;0;2;1;1;1
47893;155 595 563;A01;3;7;13;0;1;1;1
47889;155 595 570;A01;1;33;0;2;1;17;1
47889;155 595 571;B01;2;10;0;2;2;1;1
47750;155 595 826;A01;1;7;0;2;3;15;1
47750;155 595 828;B01;1;33;0;2;1;17;1
47647;155 595 998;A01;3;7;0;2;1;0;0
47647;155 596 001;B01;3;1;0;2;7;0;5
47474;155 596 321;A01;1;7;13;0;2;0;1
47341;155 596 558;A01;3;7;12;0;3;13;6
47264;155 596 698;A01;1;10;0;2;2;10;1
47264;155 596 700;B01;2;32;0;2;1;1;1
47085;155 597 022;B01;1;10;0;0;6;1;1
47085;155 597 023;A01;2;7;0;2;1;1;1
46988;155 597 181;A01;2;7;0;2;3;16;1
46988;155 597 182;B01;2;80;0;2;2;1;3
46887;155 597 347;A01;1;33;0;6;1;3;1
46850;155 597 411;A01;2;43;3;0;8;1;1
46804;155 597 486;A01;1;14;3;0;2;1;1
46804;155 597 491;B01;2;7;3;0;2;1;1
46726;155 597 628;A01;2;7;0;1;3;1;1
46722;155 597 630;A01;1;7;2;0;1;1;1
46714;155 597 646;B01;2;17;0;0;5;24;1
46714;155 597 647;A01;2;10;3;2;1;2;1
46668;155 597 736;A01;1;10;0;2;2;9;1
46668;155 597 739;B01;1;33;0;2;1;17;1
46659;155 597 754;A01;3;30;0;2;1;21;1
46659;155 597 758;B01;3;7;0;2;3;1;0
46650;155 597 769;A01;3;7;0;0;6;4;1
46650;155 597 771;B01;0;37;0;0;2;1;0
46572;155 597 904;A01;1;7;0;2;2;23;0
46572;155 597 905;B01;1;1;0;2;1;2;5
46547;155 597 952;A01;3;7;0;2;2;17;1
46547;155 597 958;B01;3;32;0;2;1;1;1
46358;155 598 294;A01;1;7;0;1;2;1;1
46356;155 598 296;A01;3;7;0;2;3;9;1
46356;155 598 297;B01;2;1;0;2;1;1;5
46274;155 598 447;A01;3;50;0;2;2;5;3
46274;155 598 450;B01;2;43;0;2;1;1;1
46253;155 598 483;A01;2;7;0;2;2;15;1
46253;155 598 484;B01;1;33;13;0;1;1;1
46134;155 598 693;B01;0;0;0;0;0;0;0
46134;155 598 695;A01;3;30;0;2;0;0;1
45974;155 598 978;A01;2;7;15;1;3;1;1
45971;155 598 984;A01;3;33;0;2;1;3;1
45971;155 598 985;B01;3;7;0;0;0;0;0
45968;155 598 990;A01;1;7;0;2;3;15;1
45968;155 598 991;B01;1;33;0;2;1;1;1
45965;155 598 998;C01;2;7;0;2;8;26;1
45965;155 599 000;A01;1;7;0;2;1;15;1
45965;155 599 003;B01;2;34;0;2;3;0;1
45933;155 599 056;A01;0;7;0;2;3;15;1
45933;155 599 059;B01;0;2;0;2;3;1;1
45920;155 599 081;Z01;0;0;0;1;2;16;0
45733;155 599 409;B01;1;7;0;2;3;1;0
45733;155 599 413;A01;2;33;0;2;3;1;1
45728;155 599 422;B01;2;2;0;0;9;17;0
45726;155 599 427;B01;1;2;0;0;7;1;0
45726;155 599 429;A01;2;10;0;2;2;15;0
45565;155 599 702;A01;3;7;0;2;7;13;0
45565;155 599 703;B01;3;2;0;2;1;26;0
45474;155 599 853;B01;2;7;0;2;3;15;1
45474;155 599 854;A01;1;50;0;2;1;1;3
45378;155 600 035;A01;2;7;0;0;2;0;0
45181;155 600 375;A01;2;7;2;0;1;17;1
45175;155 600 383;A01;2;13;0;2;4;1;1
45175;155 600 384;B01;2;7;0;2;1;2;1
45175;155 600 385;C01;2;7;0;2;1;12;1
45172;155 600 389;C01;1;7;0;2;4;23;1
45172;155 600 390;B01;2;7;0;2;2;21;1
45172;155 600 391;D01;1;7;0;2;1;1;1
45172;155 600 392;A01;2;7;0;2;3;10;1
45159;155 600 412;A01;1;7;0;2;1;0;0
45159;155 600 413;B01;2;7;0;2;1;0;0
44903;155 600 894;A01;0;7;0;0;1;16;1
44870;155 600 951;A01;1;10;0;2;0;5;1
44870;155 600 952;B01;2;7;0;2;8;1;1
44867;155 600 956;A01;3;7;0;2;3;19;1
44867;155 600 958;B01;3;2;0;2;1;1;1
44862;155 600 963;A01;2;10;0;2;1;1;0
44862;155 600 965;B01;1;7;0;2;1;1;0
44747;155 601 170;A01;1;7;0;2;7;15;1
44747;155 601 171;B01;2;33;0;2;1;1;1
44593;155 601 451;A01;1;33;0;0;8;0;1
44525;155 601 570;A01;1;7;0;2;3;7;1
44525;155 601 573;B01;1;7;0;2;2;15;1
44497;155 601 625;A01;2;7;0;2;3;1;0
44497;155 601 628;B01;2;15;0;2;5;12;0
44484;155 601 647;B01;3;2;0;0;0;1;1
44394;155 601 805;A01;1;32;2;0;1;0;1
44298;155 601 978;A01;2;7;13;0;0;2;1
44211;155 602 133;B01;3;1;0;2;2;1;5
44211;155 602 135;A01;3;7;0;9;3;9;0
44207;155 602 139;A01;3;33;5;0;1;2;1
44010;155 602 504;A01;2;14;0;0;5;1;1
44010;155 602 506;B01;2;33;0;0;1;1;1
43985;155 602 556;B01;3;7;0;2;7;19;1
43985;155 602 558;A01;3;10;0;2;1;0;1
43980;155 602 563;A01;1;7;0;2;3;1;1
43980;155 602 567;B01;2;10;0;2;8;1;1
43980;155 602 568;C01;2;7;0;2;3;1;1
43921;155 602 668;A01;1;7;0;0;6;24;1
43921;155 602 670;B01;1;32;1;0;1;9;1
43878;155 602 746;A01;2;7;3;0;1;1;1
43420;155 603 546;A01;3;32;1;0;1;18;1
43419;155 603 549;A01;2;7;0;2;3;13;1
43419;155 603 550;B01;1;7;0;2;3;1;1
43417;155 603 552;A01;3;7;0;2;8;10;1
43417;155 603 553;B01;3;33;0;2;1;1;1
43363;155 603 655;A01;1;13;0;2;1;1;1
43363;155 603 657;B01;2;7;0;2;1;13;1
43171;155 604 016;A01;1;33;9;9;2;1;1
43170;155 604 017;A01;1;7;13;0;3;1;0
43170;155 604 018;B01;2;7;14;0;1;21;0
43034;155 604 263;A01;2;7;0;2;1;2;1
43034;155 604 265;B01;2;7;0;0;4;2;1
42993;155 604 350;A01;2;7;0;2;1;5;1
42993;155 604 351;B01;1;7;0;2;1;1;1
42863;155 604 586;A01;3;32;0;9;1;1;1
42863;155 604 587;B01;3;50;0;2;8;26;3
42860;155 604 590;B01;2;7;0;0;0;0;1
42860;155 604 594;A01;1;33;0;2;1;13;1
42776;155 604 764;B01;2;7;0;2;4;23;1
42776;155 604 766;A01;2;7;0;2;1;2;1
42740;155 604 826;A01;2;10;0;0;7;19;1
42740;155 604 829;B01;2;7;0;2;1;1;1
42535;155 605 197;Y01;2;1;0;2;0;15;5
42535;155 605 198;A01;1;7;0;2;1;1;1
42533;155 605 200;B01;2;50;0;9;1;1;3
42533;155 605 201;A01;2;50;0;2;1;5;3
42500;155 605 259;A01;3;30;0;2;4;1;1
42500;155 605 260;X01;3;7;0;2;1;2;0
42498;155 605 261;A01;1;2;0;2;1;1;1
42498;155 605 262;B01;1;7;0;2;8;1;1
42497;155 605 263;A01;1;50;0;0;0;9;3
42497;155 605 265;Z01;3;0;0;0;0;0;0
42328;155 605 570;B01;1;33;0;2;7;17;1
42328;155 605 572;A01;1;7;0;2;6;1;0
42287;155 605 645;A01;1;10;0;2;1;1;1
42287;155 605 646;B01;1;7;3;0;4;1;1
42129;155 605 913;A01;2;32;0;0;7;1;1
42060;155 606 033;A01;3;32;0;1;3;1;1
41774;155 606 524;A01;0;10;0;1;1;1;1
41754;155 606 565;A01;1;7;0;9;2;17;1
41754;155 606 567;B01;1;1;0;2;4;15;5
41694;155 606 662;A01;0;7;14;0;1;1;1
41694;155 606 664;B01;0;7;0;2;4;23;1
41571;155 606 875;B01;0;1;0;2;7;1;5
41571;155 606 876;A01;0;31;0;2;1;1;1
41421;155 607 146;A01;2;33;0;2;1;1;1
41421;155 607 148;B01;1;7;0;2;8;15;1
41419;155 607 150;A01;2;7;0;0;8;13;1
41419;155 607 151;B01;2;33;0;2;7;17;1
41406;155 607 171;A01;1;7;0;2;8;1;2
41406;155 607 173;B01;1;17;0;2;2;17;1
41319;155 607 318;A01;1;7;2;0;1;1;1
41318;155 607 319;B01;1;32;0;2;8;1;1
41318;155 607 320;A01;1;7;0;2;7;21;1
41201;155 607 527;A01;2;7;0;2;7;13;1
41201;155 607 528;B01;1;7;0;2;2;1;1
40929;155 607 986;B01;2;7;0;2;1;15;1
40929;155 607 991;A01;2;33;0;2;1;17;1
40916;155 608 013;A01;1;7;0;2;1;15;1
40916;155 608 015;B01;2;34;0;2;8;1;1
40789;155 608 245;B01;0;1;0;2;0;1;5
40789;155 608 247;A01;0;7;0;2;1;1;1
40763;155 608 293;A01;0;7;1;1;3;13;0
40665;155 608 460;B01;2;31;0;2;1;1;1
40665;155 608 463;A01;1;10;0;2;3;15;1
40664;155 608 464;A01;2;10;0;2;1;1;1
40664;155 608 465;B01;2;7;0;2;1;1;1
40664;155 608 467;C01;2;7;0;2;4;1;1
40662;155 608 469;A01;1;7;0;2;1;0;1
40662;155 608 470;B01;1;7;0;0;4;2;1
40558;155 608 654;A01;1;7;0;1;0;16;0
40432;155 608 861;A01;1;7;0;0;7;15;0
40432;155 608 863;B01;2;31;0;0;2;1;1
40331;155 609 044;A01;3;7;0;2;4;2;1
40331;155 609 047;B01;0;7;0;2;1;2;1
40329;155 609 050;B01;2;33;8;2;3;0;1
40329;155 609 052;A01;2;7;0;2;2;12;1
40270;155 609 143;B01;2;7;0;0;9;2;1
